                              reaper_dataset_name,                                     current_name,                                                                 url, num_merge_scenarios, num_file_merges,    cloc, num_stars, core_contribs
                              stanfordnlp/CoreNLP,                              stanfordnlp/CoreNLP,                              https://github.com/stanfordnlp/CoreNLP,                   1,               1,  788082,      7242,             9
                     stormpath/stormpath-sdk-java,                     stormpath/stormpath-sdk-java,                     https://github.com/stormpath/stormpath-sdk-java,                  15,              26,  133248,       220,             8
                        stratosphere/stratosphere,                        stratosphere/stratosphere,                        https://github.com/stratosphere/stratosphere,                   4,               8,  280025,       189,             9
                               threerings/getdown,                               threerings/getdown,                               https://github.com/threerings/getdown,                   7,              11,   11609,       387,             6
                          tlrx/elasticsearch-test,                          tlrx/elasticsearch-test,                          https://github.com/tlrx/elasticsearch-test,                   1,               2,    5286,       153,             2
                                    tumblr/jumblr,                                    tumblr/jumblr,                                    https://github.com/tumblr/jumblr,                   2,               5,    4693,       278,             4
                                     versly/wsdoc,                                     versly/wsdoc,                                     https://github.com/versly/wsdoc,                   3,               4,    5089,        59,             3
                                      wso2/siddhi,                                 siddhi-io/siddhi,                                 https://github.com/siddhi-io/siddhi,                  15,              34,  205790,      1045,            24
                                     xebia/Xebium,                                     xebia/Xebium,                                     https://github.com/xebia/Xebium,                   7,               7,    4408,        75,             3
                             yandex-qatools/ashot,                                     pazone/ashot,                                     https://github.com/pazone/ashot,                   1,               2,    3287,       465,             7
                      yandex-qatools/htmlelements,                      yandex-qatools/htmlelements,                      https://github.com/yandex-qatools/htmlelements,                   3,               3,    7253,       251,             5
                       zonski/javafx-maven-plugin,          javafx-maven-plugin/javafx-maven-plugin,          https://github.com/javafx-maven-plugin/javafx-maven-plugin,                   9,               9,    4962,       714,             4
