merge_dir,jdime_num_conflicts,jdimeimproved_num_conflicts,spork_num_conflicts
BaseXdb/basex/5fcb39f982024e252a23fcc1bb62c4760902f6b4/FNSimple.java_97cb067e5e0d83368770a9e6a2c96d5193406e26,2,1,1
BaseXdb/basex/5fcb39f982024e252a23fcc1bb62c4760902f6b4/HttpClient.java_3f6b46426305b21fea8e36714488db6a6cb27264,1,1,0
BaseXdb/basex/5fcb39f982024e252a23fcc1bb62c4760902f6b4/Type.java_f3da41722ee073a01b929ab10c835a8ce6b13850,1,0,0
BaseXdb/basex/a84f8bd7b07a0a249be19d651fc8f0c628f677bb/GUI.java_8310da8e28175bc46d1f1e653033dad21d3ef08b,0,0,2
FasterXML/jackson-datatype-guava/3ee74a3b1dfa156c398cf910fda03bd37cc40b59/MultimapSerializer.java_cf577e003bc478d86f1ce247eb9a5ce5953b1eaa,7,0,5
dcm4che/dcm4che/eabc8cb593e0c682dac2f88a3d0c8d3acd0f17ef/PersonName.java_c9bea34848ebb21c36f7b045e08a0ea2bce9b1fa,1,0,0
jcabi/jcabi-github/26cda5a366cc3d44e4fc4265b18c085d7cf6de2e/RtHooksTest.java_3418eb6a5177cf48c2a9350d0779c47656891f98,1,1,2
jcabi/jcabi-github/6fffc8a4eb6c480a1ce771a58df1d54f783beb45/RtRepo.java_834cf1d6444b04a4fdf95a9ca5a75ef0a01b9898,0,0,1
jcabi/jcabi-github/b753098546c4fce159d88e863277216c3ec2e845/RtReleases.java_f71ce722c819f757a0bcd32af16fe80d1e2196d0,2,0,2
kohsuke/github-api/c1a77ada5d08f2de53c1eb8e0499414cc8645d9b/Previews.java_ce7423fb51c543a8773135c54c86ee90c8ccf6dc,1,0,0
kohsuke/args4j/1e85f8a904541424b592659995dc5a40a1ba6056/CmdLineParser.java_b08579a592e74d724535bb47361e5d4c52fb8d6a,0,0,1
kohsuke/args4j/da7de2b8b1be12fb646997b97d2deec63eaa4c0b/CmdLineParser.java_b08579a592e74d724535bb47361e5d4c52fb8d6a,1,1,3
joel-costigliola/assertj-core/0536ebda46c31e95aeb2dfef04496c79ed874dbc/AbstractIterableAssert.java_290aedf39f73f6f6101bf4249285feec792a0a2a,0,0,2
joel-costigliola/assertj-core/0536ebda46c31e95aeb2dfef04496c79ed874dbc/AbstractObjectArrayAssert.java_0a380d4b46cedd41a5a340096f991fea62a10d77,0,0,2
joel-costigliola/assertj-core/0536ebda46c31e95aeb2dfef04496c79ed874dbc/Assertions.java_c4a7333876249448263dd1ec9a30ba881b551fe0,0,0,2
joel-costigliola/assertj-core/0536ebda46c31e95aeb2dfef04496c79ed874dbc/Descriptable.java_47fb7da7edd77a1b933b71bae2c8511445d89043,0,0,1
joel-costigliola/assertj-core/1ddb7c4c776a5574f804772fb843a81818a94ff1/BDDAssertions.java_964b3f2771d7d4aba35ecf0b65466b87f3b01648,10,2,0
joel-costigliola/assertj-core/1ddb7c4c776a5574f804772fb843a81818a94ff1/BDDAssertions_then_Test.java_825b7560b26f0ceeb5ecc26ca64983f7713760d5,2,2,2
joel-costigliola/assertj-core/239461d2e1692eef909db34ccbbd3bca74aac67b/AbstractIterableAssert.java_290aedf39f73f6f6101bf4249285feec792a0a2a,1,1,4
joel-costigliola/assertj-core/239461d2e1692eef909db34ccbbd3bca74aac67b/AbstractObjectArrayAssert.java_0a380d4b46cedd41a5a340096f991fea62a10d77,4,4,4
joel-costigliola/assertj-core/239461d2e1692eef909db34ccbbd3bca74aac67b/ObjectArrayAssert_extracting_Test.java_7e3049a98e74ce00780a667a8e4fdaf7dbeac172,1,0,1
joel-costigliola/assertj-core/239461d2e1692eef909db34ccbbd3bca74aac67b/ShouldBeEqualByComparingFieldByFieldRecursively.java_9ef5d680842cba1a4ab83e7871ade5e659555bb3,2,0,0
joel-costigliola/assertj-core/239461d2e1692eef909db34ccbbd3bca74aac67b/StandardRepresentation.java_71c356f04002df9bc64ba3319651e44e3d2b7b7c,4,0,1
joel-costigliola/assertj-core/87fb5872665ad8d1c72f7d76c278bd7e8af5e762/Iterables.java_3f412b9cc07fc76865973f7675203f9fe424f103,0,0,1
joel-costigliola/assertj-core/97b9e58794780f7dce0c49796e5db7ae2b95e7a6/BDDAssertions.java_964b3f2771d7d4aba35ecf0b65466b87f3b01648,0,0,1
joel-costigliola/assertj-core/97b9e58794780f7dce0c49796e5db7ae2b95e7a6/IterableAssert_extracting_Test.java_a6aa14559498c0710a2d9935b323d85aff728483,0,0,1
joel-costigliola/assertj-core/b36e8eaedb5eff543436358200741fa9ce3d47bd/Assertions.java_c4a7333876249448263dd1ec9a30ba881b551fe0,0,0,2
joel-costigliola/assertj-core/b36e8eaedb5eff543436358200741fa9ce3d47bd/ListAssert.java_48122bfdf3a066ca524a389d12d418a15de558ca,1,1,1
joel-costigliola/assertj-core/c85be7b3c81624c9ada99251b31ec677cbd338a6/Introspection.java_5dc553d2386460bcc4bbca86e5d557886e7dfe90,1,1,2
joel-costigliola/assertj-core/c85be7b3c81624c9ada99251b31ec677cbd338a6/Introspection_getProperty_Test.java_e974ffef76c1348387abb2ed21205bb22142a8ed,4,4,0
joel-costigliola/assertj-core/eefd0397186144275d235d7a27506d71475c6e2b/Assertions.java_c4a7333876249448263dd1ec9a30ba881b551fe0,0,0,1
joel-costigliola/assertj-core/eefd0397186144275d235d7a27506d71475c6e2b/StandardRepresentation.java_71c356f04002df9bc64ba3319651e44e3d2b7b7c,0,0,1
joel-costigliola/assertj-core/fd2d28492a5a003607c46fab2058a21c4f798b4b/StandardRepresentation.java_71c356f04002df9bc64ba3319651e44e3d2b7b7c,8,5,1
joel-costigliola/assertj-core/fd2d28492a5a003607c46fab2058a21c4f798b4b/StandardRepresentation_toStringOf_Test.java_4236fda382727dd6b898f67a17c8a73c824414e9,1,1,0
skyscreamer/JSONassert/8b2593cd7449b1496c9ff3844db6f0592a049052/JSONAssert.java_785b792a116417c0b29f566c7937a39fb55060c6,2,0,0
versly/wsdoc/b31f68ecbc00ed949e9da700d3e2fc51136690bc/AnnotationProcessor.java_ff82d5ac962e9f8de9a8454533e80c369d7f9104,1,0,0
versly/wsdoc/b31f68ecbc00ed949e9da700d3e2fc51136690bc/Utils.java_3f5c599fbfe756a4736a8372be2937780c0553aa,1,0,1
ontop/ontop/0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/LegacyABoxFactIntoMappingConverter.java_fff4292e7198d65aab193131a25f421c31ef33f4,2,2,5
ontop/ontop/0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/OBDAModel.java_5d80f7176bc0b76693bba4c97f14e828007ca7e1,1,1,0
ontop/ontop/0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/ReformulationTestingTools.java_0c94a9b75d32180f41f6c2c7a7d0bd5a0a40bafe,2,1,0
ontop/ontop/0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/UnionFlattenerTest.java_eabdf6e97d9f91cc0eb097bcd556b92f1e6b344c,1,1,1
ontop/ontop/88ef35c421b2cabe882243f498833731981b9f82/RedundantSelfJoinTest.java_3566f00a1ab05f0bf2cd247a16995410bd34e841,1,1,0
ontop/ontop/af3862ff883092d6658172065fdc06ebf8752edc/RDBMetadata.java_a90b54e3455bbc0abc51a6e024359b2a2db43be1,1,1,0
ontop/ontop/d9e06c79fafa1d1183755e2ac543919de99b9035/NodeBasedQueryTransformer.java_0ad905756a67c0f0488a9f39cd8bdd9da7de1cf4,1,1,1
ontop/ontop/d9e06c79fafa1d1183755e2ac543919de99b9035/QueryRenamer.java_a673196ef5ec1499fe64ebd94327d949350a0a1b,2,2,1
forcedotcom/phoenix/0583c7a88d8615719104b3de0a4d09c0b4175af7/UngroupedAggregateRegionObserver.java_d674d833a9e10f7c15694324821b9f9d97ab42cb,2,0,1
forcedotcom/phoenix/b0eccd7149092904a90f8afa6e4d46bab37cd5cb/BaseTest.java_2c4e22ea2126edb75c6ed404c358dd810d6edde3,7,6,0
forcedotcom/phoenix/b0eccd7149092904a90f8afa6e4d46bab37cd5cb/ExpressionType.java_ca52255ade6e1479ecfb023e61398b33348c83ab,0,0,1
forcedotcom/phoenix/b0eccd7149092904a90f8afa6e4d46bab37cd5cb/TestUtil.java_e9c8225382010736d00d212004fd30d2ebd2a3e5,2,0,0
forcedotcom/phoenix/eb875d57be3a94c253eb3d71bc33026b817d36db/QueryServices.java_ae60fdaa1ab2117350bce2c4d027fbad0d5ecd77,1,0,0
forcedotcom/phoenix/eb875d57be3a94c253eb3d71bc33026b817d36db/QueryServicesOptions.java_8af68ea4dc95f6be65e1a75a3ee777aa1c65379d,2,1,0
forcedotcom/wsc/f617922ebb458d3e0df5769ad3792a1e683b05b1/BulkConnection.java_3939f6904262132ecb58365bf3c43c0ff7a5a69c,0,0,22
forcedotcom/wsc/fbe96dcc60f8cf1c6b03ff142fed907842ceed65/Types.java_36f259ff337f2dc61ce7bd11e00a5c60e7b413a2,0,0,0
hector-client/hector/395aa4fb76299eb90029bc85494c570254fd7523/CassandraClientFactory.java_5a9a1f54f5e0d6f477c91e0727893a86c482235c,1,1,0
hector-client/hector/395aa4fb76299eb90029bc85494c570254fd7523/CassandraClientImpl.java_f4792ee7ad13f468f4be48c96d6790cae4ce408a,0,0,1
hector-client/hector/395aa4fb76299eb90029bc85494c570254fd7523/KeyspaceImpl.java_9589fd4a57b5675119880bfae0dc5feda31182e9,2,1,1
hector-client/hector/395aa4fb76299eb90029bc85494c570254fd7523/KeyspaceTest.java_7eb1b310295c6d5e08d6145850198d965c36feb9,1,0,1
hector-client/hector/81d97c7856d93a8808be98964cc6018db1b97c6b/ComparatorType.java_628f810972602682fe87329a26ef05079b6191ef,1,0,1
hector-client/hector/a924f4184388e6f3aec2d6276a2a345e346ad3de/ColumnParser.java_da0a971f65a4dbb4f1085bc6c14e055b76f1a485,1,1,0
linkedin/camus/19ca2505b3c10e89c00bcd08cddf19a4a48385a5/CamusSweeper.java_fd11e5c1048bec662e96c4adc14938fce33c965d,1,1,1
linkedin/camus/69055e649807e6b9e7fc6b3ad3359e15d0db3230/EtlInputFormat.java_ac84698356a78a7efe24a81c5f4d37573f7d0953,2,0,0
linkedin/camus/bd548b6a11b1dabc6e2bff5c4699363c187f388e/EtlInputFormat.java_ac84698356a78a7efe24a81c5f4d37573f7d0953,1,0,0
davidB/scala-maven-plugin/333edc0dba04f92efe69f3cea8736eae973c7b02/ScalaCompilerSupport.java_eab8efd95dab9cbaf0e29dabfc1e5d5fc649b106,0,0,2
threerings/getdown/ac499c1e3c4dc81fadfe3e64e617357892c5d0e8/Application.java_c9e9147222d1fdc5039501f6df720c9acbd05908,2,1,0
threerings/getdown/ad32699ca3156b8423fe198b0486c346f18cafbc/Application.java_c9e9147222d1fdc5039501f6df720c9acbd05908,0,0,1
threerings/getdown/f087863098a6bc43551643f94cbe1893348773e6/ProxyUtil.java_c80e9cb36861dacc057d865cd66d9f5dde0710bd,2,2,1
yandex-qatools/htmlelements/18bc0ea96e12cc52d2a6c01ff87d07643b690cff/MatchersUsages.java_7f5e3c969995160cb09eace054eb9cb16e04dfb8,1,1,0
yandex-qatools/htmlelements/8ed65734b6b6b0a338c2b4ad7c9e1dd5374305a1/MatchersUsages.java_7f5e3c969995160cb09eace054eb9cb16e04dfb8,1,1,0
yandex-qatools/ashot/c885c16709720ca016eeaad7056c0a39a9490878/AShot.java_6024ce672f1bea0d904c2380da9ebfabe3841a10,1,0,0
yandex-qatools/ashot/c885c16709720ca016eeaad7056c0a39a9490878/IndentCropper.java_553a21cf1498b36ed39d9bbf73c901c4bb533305,2,0,1
LucidWorks/spark-solr/7758ec85cfe942103f2ac29a9576c0bbac1b820d/FusionMLModelSupport.java_0c4f09bc0913a496a9e6b67f1bf76aaad1afa324,1,0,0
HubSpot/Singularity/088ea9ad36326c90506b4faeb9c4638484e5da29/SingularityConfiguration.java_264130306318e08940cd2183e7471ace19cc4900,3,2,0
HubSpot/Singularity/26efb7cf19ff132baeea3b2d19f165856cf09f25/SingularityMesosSchedulerImpl.java_e5928a82a201cf431c0e4b0ff6461d711b9fd2c9,1,1,0
HubSpot/Singularity/550baaa4712be924065c3b994deb1003ea97aadc/SingularityClient.java_a3c0c8c6c0f0601487d2143d94752e6112a7cd47,1,0,0
HubSpot/Singularity/550baaa4712be924065c3b994deb1003ea97aadc/SingularityTranscoderModule.java_d0ad70d778d363ce997cd484eb7196b0cab2ccc4,1,1,1
HubSpot/dropwizard-guice/c432efe036ebd2594ce85960e5a0d2166ec7159a/GuiceBundle.java_daa2e7f5d81de5f9355d19a9845eda2fd5a28cf4,1,1,0
greenmail-mail-test/greenmail/4d9ceda12f87fd3ed9b7e9d79e2f577ea2a72dfe/ImapSearchTest.java_1341017d7101ae22a82c0c24f0f616557c45ddfa,9,4,5
greenmail-mail-test/greenmail/4d9ceda12f87fd3ed9b7e9d79e2f577ea2a72dfe/SearchCommandParser.java_9cb71521effc30cb829d2704137a816786f257f9,1,1,0
greenmail-mail-test/greenmail/4d9ceda12f87fd3ed9b7e9d79e2f577ea2a72dfe/SearchTermBuilder.java_c0ae317a0ac9e00e63077815b2ce7ec12de7aa10,0,0,3
greenmail-mail-test/greenmail/8a015c16ffe0bdcb407436f147152bf323b56dbd/GreenMailUtil.java_a62dd62585fbf44ece9b27aebf516eb5ce9a37ef,0,0,1
Bluelock/camel-spring-amqp/b35bb9daf4bf1d8c6686f3d92e566a48dc5043e8/SpringAMQPComponent.java_aa948afcb109969358616c1ec24c0b5454dc4cf6,1,0,0
Bluelock/camel-spring-amqp/b35bb9daf4bf1d8c6686f3d92e566a48dc5043e8/SpringAMQPHeader.java_32a764a1e41638d4340d3c6a92e2b5f6a72657f3,1,1,1
Bluelock/camel-spring-amqp/c31678d8644cd608d2b55d4f3e8c28c103c9604c/SpringAMQPEndpoint.java_b3dc5b056c73548c458ba0a6e581102d878c2a6c,1,1,0
Bluelock/camel-spring-amqp/c31678d8644cd608d2b55d4f3e8c28c103c9604c/SpringAMQPProducerTest.java_03c7e94bd0c9d73996675485884889057e53fde7,2,0,0
flyingsaucerproject/flyingsaucer/95bfc21a868b15c0753e179040dabb40b59f6b09/CSSName.java_bb2f7e8e96f1b62e8ea4d439d7db4ad909c87080,2,0,0
flyingsaucerproject/flyingsaucer/95bfc21a868b15c0753e179040dabb40b59f6b09/PrimitivePropertyBuilders.java_7cf8b8622904a26c4c0a8d8d2ca459d15ddee30c,2,0,0
mboudreau/Alternator/3322caba24e3adcbf5fdfa7c3777fa9f0c761580/AlternatorScanTest.java_74b7b88c5b97aeeef4ea11870831b5bff2b3bf23,0,0,1
mboudreau/Alternator/4d928444e61ef0a960d6f40db7ec5fd8406e110a/AlternatorBatchItemTest.java_8e0f5e13fe029b15565cd22d2d76639510cc25a9,1,1,0
mboudreau/Alternator/9adf68eb8af7a41af55b72a8cd6a5b6191b7026c/AlternatorTestSuite.java_de59003af69573dc4de83c9de628d69b79673f01,1,1,1
mboudreau/Alternator/e98877f87081708e446b278c812eb504565ff5f9/AlternatorDBHandler.java_7390fc17ae20ea77788a5a8f2bb5e55b661f31f7,0,0,1
mboudreau/Alternator/e98877f87081708e446b278c812eb504565ff5f9/AlternatorTest.java_f8b2346d62c2f74f0f9804170e2b243bf775dc90,0,0,0
kairosdb/kairosdb/d632e4732f495826217b7bd2edc75505226de02c/CassandraConfiguration.java_d75550a109e384ad9e3314b0d97e508d258a7d83,2,1,0
maven-nar/nar-maven-plugin/436a5cc07ad6d54972e719e8f23d0265593632e2/Msvc.java_2f95f37862651eace4a93b39b958197e5baba6ed,0,0,1
maven-nar/nar-maven-plugin/f094671078becaaf84107cb3859f4a41a66be2af/AbstractCompileMojo.java_c5b8ff1d492f4741187f5533005f400f33df87be,2,1,0
devbliss/mongojack/913d3ce6432d691fed1c559885b45cae303f38fb/JacksonMongoCollection.java_60078b196900929dedd0ea2a9c9bdf5af8a92daf,3,0,3
devbliss/mongojack/fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/JacksonDBCollection.java_9cb54ace7b16960b88abdbaf3b399bf47247de76,1,1,1
devbliss/mongojack/fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/JacksonDBEncoder.java_4301bc19f5ba8878a35fbc73bb4de9926a87471f,1,1,0
devbliss/mongojack/fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/JacksonDBObject.java_859bf18f568b2db29043337e45c9ea80118e4737,1,1,0
devbliss/mongojack/fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/TestJsonViews.java_be5313eed4a2488d18db7be6c67829f6ae9390ac,1,1,0
