,project,merge_dir,merge_commit,base_blob,left_blob,right_blob,expected_blob,replayed_blob,merge_cmd,outcome,git_diff_size,num_conflicts,conflict_size,runtime
8,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/MongoDBTestBase.java_372f3f319c19165cb324fd3f132eb266b2f93163,913d3ce6432d691fed1c559885b45cae303f38fb,5875f5bddc482f4e24e6e1a8b7507797f81fb9a3,ce006a7267c5e16c43f6d4a0db46129f42c154ba,b13ee6fb58a76f7b3170c739ac23ec0f84fd2af4,d5fb491ab9e85be64bcdb7f71b71437cf9b4da55,2272aaea9df37f77c2d9a34ea12144113efbf6a5,spork,success,64,0,0,1.3757822610000403
9,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/MongoDBTestBase.java_372f3f319c19165cb324fd3f132eb266b2f93163,913d3ce6432d691fed1c559885b45cae303f38fb,5875f5bddc482f4e24e6e1a8b7507797f81fb9a3,ce006a7267c5e16c43f6d4a0db46129f42c154ba,b13ee6fb58a76f7b3170c739ac23ec0f84fd2af4,d5fb491ab9e85be64bcdb7f71b71437cf9b4da55,22ecf48f6d2ff001d4f17a01c7f73880e56c72d7,jdime,success,193,0,0,1.0651218809998682
10,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/TestQuerySerialization.java_793d081a202dd2b0791077af2499a3f111f41659,913d3ce6432d691fed1c559885b45cae303f38fb,31c8156ebada30ab2a4cd29f09da33eb56a96dd0,7cf2e554dbba761e7c347420cfc76c0029ed656b,d494fe68f2c1467c6340b4c962878db6787e4b8f,a3827d545d226027d9ba5887a36c4408f438d3b3,24b94f38d3e97407d69e18b4208d6789e9fdb6a6,spork,success,39,0,0,2.4316049990002284
11,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/TestQuerySerialization.java_793d081a202dd2b0791077af2499a3f111f41659,913d3ce6432d691fed1c559885b45cae303f38fb,31c8156ebada30ab2a4cd29f09da33eb56a96dd0,7cf2e554dbba761e7c347420cfc76c0029ed656b,d494fe68f2c1467c6340b4c962878db6787e4b8f,a3827d545d226027d9ba5887a36c4408f438d3b3,4b9fd7c3a6acdc3b60c405f27c30cbc489dc0e92,jdime,success,680,0,0,2.016083063000224
12,devbliss/mongojack,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/JacksonDBCollection.java_9cb54ace7b16960b88abdbaf3b399bf47247de76,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f,62ae8c9224ab010bdf0278d94b20a049974b3c58,168c4924654e41cf96b219b6ea340ef70cea2d15,e0cbfc5421345645747f9c436aa52668f18e2acc,9fab51fd8954f72194ca642a4ce9a54b1196e682,81fdff03d79ff3d2c6077645874f78a1182c15fb,jdime,success,2932,0,0,3.1358108039999024
13,devbliss/mongojack,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/JacksonDBCollection.java_9cb54ace7b16960b88abdbaf3b399bf47247de76,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f,62ae8c9224ab010bdf0278d94b20a049974b3c58,168c4924654e41cf96b219b6ea340ef70cea2d15,e0cbfc5421345645747f9c436aa52668f18e2acc,9fab51fd8954f72194ca642a4ce9a54b1196e682,8890472775b57f33207032f396a07a424530abd2,spork,conflict,233,1,2,3.40211483899975
14,devbliss/mongojack,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/JacksonDBEncoder.java_4301bc19f5ba8878a35fbc73bb4de9926a87471f,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f,c67fa732a74299a9e109fae746725c055d1bdabe,b7c439b9e5059fbd2e380a92dff304319c25c4e6,011d8ab1a079372fd33186e5dd010ecd1ffc4945,e4f1fa2c4893fe1fef7e7e47d2ed86080fddc5d8,7024265880a4f85aa0bcc48ee212265289b85eca,jdime,success,111,0,0,0.5702702290000161
15,devbliss/mongojack,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/JacksonDBEncoder.java_4301bc19f5ba8878a35fbc73bb4de9926a87471f,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f,c67fa732a74299a9e109fae746725c055d1bdabe,b7c439b9e5059fbd2e380a92dff304319c25c4e6,011d8ab1a079372fd33186e5dd010ecd1ffc4945,e4f1fa2c4893fe1fef7e7e47d2ed86080fddc5d8,720ee3db2d76e6ad7770df28110313f0255ca992,spork,success,7,0,0,1.092311150000114
16,devbliss/mongojack,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/JacksonDBObject.java_859bf18f568b2db29043337e45c9ea80118e4737,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f,9608addb1287f29c6f02b8be8d49f4a96eac7dab,e6c7c0eef1ddc1ae08c4fec54744116714711e87,1e0774f301033f89c08067c42a63b7c529286d33,a7eba5d8f92217c373cb106aee4e77e7b8d886e6,8b4df5861abab4c789a6c21103303055bd062247,spork,success,2,0,0,0.8377788699999655
17,devbliss/mongojack,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/JacksonDBObject.java_859bf18f568b2db29043337e45c9ea80118e4737,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f,9608addb1287f29c6f02b8be8d49f4a96eac7dab,e6c7c0eef1ddc1ae08c4fec54744116714711e87,1e0774f301033f89c08067c42a63b7c529286d33,a7eba5d8f92217c373cb106aee4e77e7b8d886e6,98fc14e4e0d7a3661c7bb53d1ac6299f42f6321a,jdime,success,104,0,0,0.5854977330000111
